candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
neutrophil → Alcam → Cd6 → CD8	extracellular	cell-cell / extracellular signal	0.4580704447403297	0.72206305606137	False	False	False	True	True	False	False	True	interaction-supported	1.4580704447403297
dendritic → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.4558162945101738	0.9133713461146749	False	False	False	True	True	False	False	True	interaction-supported	1.4558162945101738
monocyte_macrophage → App → Rpsa → CD4	extracellular	cell-cell / extracellular signal	0.4554295628137457	0.8592894297607107	False	False	False	True	True	False	False	True	interaction-supported	1.4554295628137457
fibroblast → Col6a2 → Cd44 → CD8	extracellular	cell-cell / extracellular signal	0.4550714110292178	0.0441216330213713	False	True	False	True	True	False	False	True	ADT-supported	1.4550714110292178
dendritic → Lgals1 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.4536796889857396	0.9598829578995776	False	False	False	True	True	False	False	True	interaction-supported	1.4536796889857397
B_cell → H2-K1 → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4534142975625894	0.8072909829183418	False	False	False	True	True	False	False	True	interaction-supported	1.4534142975625894
monocyte_macrophage → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.4533992105487176	0.6816596773420456	False	False	False	True	True	False	False	True	interaction-supported	1.4533992105487177
fibroblast → Lgals1 → Ptprc → CD8	extracellular	cell-cell / extracellular signal	0.4521385004244627	0.3759647036735458	False	False	False	True	True	False	False	True	interaction-supported	1.4521385004244627
fibroblast → Calr → Itgav → CD8	extracellular	cell-cell / extracellular signal	0.4515668452386263	0.4156305571631887	False	False	False	True	True	False	False	True	interaction-supported	1.4515668452386263
B_cell → H2-K1 → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4512573858815539	0.8072909829183418	False	False	False	True	True	False	False	True	interaction-supported	1.4512573858815538
monocyte_macrophage → Vim → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.4512233483700626	0.3317238294866053	False	False	False	True	True	False	False	True	interaction-supported	1.4512233483700627
T_cell → Itgav → Thy1 → CD4	extracellular	cell-cell / extracellular signal	0.4505927861433177	0.0036866912484448	False	True	False	True	True	False	True	True	ADT-supported	1.4505927861433177
monocyte_macrophage → B2m → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4501466360063655	0.8424976288197876	False	False	False	True	True	False	False	True	interaction-supported	1.4501466360063655
NK → B2m → Klrc1 → CD8	extracellular	cell-cell / extracellular signal	0.449387417122139	0.8172766852801584	False	False	False	True	True	False	False	True	interaction-supported	1.449387417122139
B_cell → H2-K1 → Cd8b1 → CD8	extracellular	cell-cell / extracellular signal	0.4493121384623558	0.8072909829183418	False	False	False	True	True	False	False	True	interaction-supported	1.4493121384623557
NK → Lgals1 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4487833727114306	0.5423389545011166	False	False	False	True	True	False	False	True	interaction-supported	1.4487833727114305
fibroblast → App → Rpsa → CD4	extracellular	cell-cell / extracellular signal	0.4484811555717201	0.2535656257946183	False	False	False	True	True	False	False	True	interaction-supported	1.44848115557172
monocyte_macrophage → B2m → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4482286382053242	0.8424976288197876	False	False	False	True	True	False	False	True	interaction-supported	1.4482286382053242
fibroblast → Col1a2 → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.4477174191227412	0.0213270534042865	False	True	False	True	True	False	False	True	ADT-supported	1.4477174191227413
neutrophil → Ccl4 → Ccr5 → CD8	extracellular	cell-cell / extracellular signal	0.4467437409921356	0.679066735870504	False	False	False	True	True	False	False	True	interaction-supported	1.4467437409921355
B_cell → B2m → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4463158414835727	0.9505946096027544	False	False	False	True	True	False	False	True	interaction-supported	1.4463158414835726
dendritic → App → Rpsa → CD4	extracellular	cell-cell / extracellular signal	0.4462288312855457	0.8232657900694536	False	False	False	True	True	False	False	True	interaction-supported	1.4462288312855458
monocyte_macrophage → Pkm → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.4462139464520019	0.2885539254177927	False	False	False	True	True	False	False	True	interaction-supported	1.4462139464520019
T_cell → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4461458024834258	0.4891000339624999	False	False	False	True	True	False	False	True	interaction-supported	1.4461458024834257
