TF	lineage	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	FDR	n_strata	direction_consistency
Gata3	CD4	48h_vs_12h	48	12	-0.3697920641575882	0.38858219025600016	0.7331162006589302	4	0.75
Hif1a	CD4	48h_vs_12h	48	12	-0.14135550288227358	0.3981021330350101	0.7331162006589302	4	0.5
Hinfp	CD4	48h_vs_12h	48	12	0.07631427374222188	0.3893296834131672	0.7331162006589302	4	0.75
Klf5	CD4	48h_vs_12h	48	12	0.07562226385807402	0.4040607442575622	0.7331162006589302	4	0.75
Maf	CD4	48h_vs_12h	48	12	-0.11817127285936962	0.4034416770155256	0.7331162006589302	4	0.75
Mxi1	CD4	48h_vs_12h	48	12	-0.0016195062829616102	0.4008200353054441	0.7331162006589302	4	0.5
Rara	CD4	48h_vs_12h	48	12	-0.23581847850367876	0.40038462813941644	0.7331162006589302	4	0.5
Tcf7	CD4	48h_vs_12h	48	12	-0.061490318412247794	0.39326614458890374	0.7331162006589302	4	0.5
Tead1	CD4	48h_vs_12h	48	12	0.22332102303882487	0.39464439658121475	0.7331162006589302	4	0.75
Zfp24	CD4	48h_vs_12h	48	12	0.07675076008996391	0.3833043270735903	0.7331162006589302	4	0.75
E2f6	CD4	48h_vs_12h	48	12	0.04494499572698683	0.4092633676416235	0.735786291009678	4	0.5
Irf3	CD4	48h_vs_12h	48	12	-0.06602060527901737	0.4103890534014375	0.735786291009678	4	0.75
Pgr	CD4	48h_vs_12h	48	12	-0.12450596533866426	0.41482673969585004	0.7393676595755445	4	0.75
Ybx1	CD4	48h_vs_12h	48	12	-0.06180430153234796	0.42147617165286566	0.7468261988936743	4	0.75
Etv4	CD4	48h_vs_12h	48	12	-0.039914819339162425	0.44099600185515875	0.772605378492289	4	0.75
Hoxb7	CD4	48h_vs_12h	48	12	-0.09104443556578437	0.4411245230335512	0.772605378492289	4	0.75
Myod1	CD4	48h_vs_12h	48	12	0.023323745233797127	0.4439688563256803	0.773118180842995	4	0.5
Mitf	CD4	48h_vs_12h	48	12	-0.09910330351863708	0.4470377591330944	0.7740139486704435	4	0.5
Cebpd	CD4	48h_vs_12h	48	12	-0.09737208051460386	0.45467549001821495	0.7827651902018132	4	0.5
Snai1	CD4	48h_vs_12h	48	12	0.08664654718380954	0.45869802503832213	0.7852288225232295	4	0.75
Lyl1	CD4	48h_vs_12h	48	12	0.04475565708441773	0.46465704754248627	0.7865423765663314	4	0.5
Mbd1	CD4	48h_vs_12h	48	12	-0.1411431837719262	0.46411275782026906	0.7865423765663314	4	0.75
Xbp1	CD4	48h_vs_12h	48	12	-0.05960617086869848	0.47437315861381857	0.7985281503332613	4	0.5
Zc3h8	CD4	48h_vs_12h	48	12	0.07815724637805443	0.4775754495274017	0.7989497876482011	4	0.75
Zeb1	CD4	48h_vs_12h	48	12	-0.08201611555131569	0.47989723218472813	0.7989497876482011	4	0.75
Ascl1	CD4	48h_vs_12h	48	12	-0.07161424147079333	0.5237433843755214	0.8017367813046484	4	0.5
Ctcfl	CD4	48h_vs_12h	48	12	0.05595660190606631	0.5313150666559276	0.8017367813046484	4	0.75
Esr2	CD4	48h_vs_12h	48	12	0.020411430555914416	0.48485444596598304	0.8017367813046484	4	0.5
Foxa1	CD4	48h_vs_12h	48	12	-0.29317809129012945	0.5245766210442742	0.8017367813046484	4	0.5
Gata2	CD4	48h_vs_12h	48	12	-0.25103287543224745	0.5078913283859625	0.8017367813046484	4	0.5
Gli2	CD4	48h_vs_12h	48	12	0.03564236144325175	0.5286403355371148	0.8017367813046484	4	0.5
Grhl2	CD4	48h_vs_12h	48	12	-0.021245455395932207	0.5211530970655995	0.8017367813046484	4	0.5
Hnf4g	CD4	48h_vs_12h	48	12	-0.012464230534820202	0.4919805685384766	0.8017367813046484	4	0.75
Jun	CD4	48h_vs_12h	48	12	-0.319157288202059	0.5273086515373782	0.8017367813046484	4	0.5
Mef2b	CD4	48h_vs_12h	48	12	-0.19146897587662448	0.505672442279703	0.8017367813046484	4	0.75
Mef2bl	CD4	48h_vs_12h	48	12	-0.19146897587662448	0.505672442279703	0.8017367813046484	4	0.75
